"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 29 19:37:50 EEST 2022","Mon Aug 29 19:37:50 EEST 2022","192","","","","","","SPARQL validation",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","2","","","","","","add validation report for a transformation",""
"passed","Mon Aug 29 19:37:06 EEST 2022","Mon Aug 29 19:37:06 EEST 2022","17","","","","","","Fetch notices by date range, from Ted",""
"passed","Mon Aug 29 19:37:40 EEST 2022","Mon Aug 29 19:37:41 EEST 2022","322","","","","","","Transform a TED notice by id",""
"passed","Mon Aug 29 19:37:38 EEST 2022","Mon Aug 29 19:37:40 EEST 2022","1768","","","","","","Publish notice by id",""
"passed","Mon Aug 29 19:37:06 EEST 2022","Mon Aug 29 19:37:06 EEST 2022","17","","","","","","Fetch notices by query, from Ted",""
"passed","Mon Aug 29 19:37:06 EEST 2022","Mon Aug 29 19:37:06 EEST 2022","25","","","","","","Fetch notices by date wild card, from Ted",""
"passed","Mon Aug 29 19:37:40 EEST 2022","Mon Aug 29 19:37:40 EEST 2022","506","","","","","","Transform a TED notice",""
"passed","Mon Aug 29 19:37:36 EEST 2022","Mon Aug 29 19:37:37 EEST 2022","63","","","","","","Package a TED notice in a METS package",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","8","","","","","","Create a bare minimum notice",""
"passed","Mon Aug 29 19:37:41 EEST 2022","Mon Aug 29 19:37:50 EEST 2022","9004","","","","","","SHACL validation",""
"passed","Mon Aug 29 19:37:06 EEST 2022","Mon Aug 29 19:37:06 EEST 2022","24","","","","","","Fetch a notice by id, from Ted",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","11","","","","","","add normalised metadata",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","2","","","","","","add RDF manifestation",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","6","","","","","","overwrite METS manifestation",""
"passed","Mon Aug 29 19:37:20 EEST 2022","Mon Aug 29 19:37:20 EEST 2022","43","","","","","","Notice eligibility checking negative",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","3","","","","","","add METS manifestation",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","6","","","","","","overwrite RDF manifestation",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","11","","","","","","overwrite normalised metadata",""
"passed","Mon Aug 29 19:37:37 EEST 2022","Mon Aug 29 19:37:38 EEST 2022","1640","","","","","","Publish notice",""
"passed","Mon Aug 29 19:37:05 EEST 2022","Mon Aug 29 19:37:05 EEST 2022","3","","","","","","cannot add a validation report when there is no transformation",""
"passed","Mon Aug 29 19:37:20 EEST 2022","Mon Aug 29 19:37:22 EEST 2022","1393","","","","","","Notice eligibility checking positive",""
