form_number,sf_notice_type,legal_basis,document_code,eforms_subtype
F01,PRI_CALL_COMPETITION,32014L0023,A,10
F01,PRI_CALL_COMPETITION,32014L0024,A,10
F01,PRI_CALL_COMPETITION,32014L0025,A,10
F01,PRI_ONLY,32014L0023,0,4
F01,PRI_ONLY,32014L0024,0,4
F01,PRI_ONLY,32014L0025,0,4
F01,PRI_REDUCING_TIME_LIMITS,32014L0023,0,7
F01,PRI_REDUCING_TIME_LIMITS,32014L0024,0,7
F01,PRI_REDUCING_TIME_LIMITS,32014L0025,0,7
F02,,32014L0023,3,16
F02,,32014L0024,3,16
F02,,32014L0025,3,16
F02,,32014L0023,Y,16
F02,,32014L0024,Y,16
F02,,32014L0025,Y,16
F03,,32014L0023,7,29
F03,,32014L0024,7,29
F03,,32014L0025,7,29
F04,PER_CALL_COMPETITION,32014L0023,M,11
F04,PER_CALL_COMPETITION,32014L0024,M,11
F04,PER_CALL_COMPETITION,32014L0025,M,11
F04,PER_ONLY,32014L0023,P,5
F04,PER_ONLY,32014L0024,P,5
F04,PER_ONLY,32014L0025,P,5
F04,PER_REDUCING_TIME_LIMITS,32014L0023,P,8
F04,PER_REDUCING_TIME_LIMITS,32014L0024,P,8
F04,PER_REDUCING_TIME_LIMITS,32014L0025,P,8
F05,,32014L0023,3,17
F05,,32014L0024,3,17
F05,,32014L0025,3,17
F05,,32014L0023,Y,17
F05,,32014L0024,Y,17
F05,,32014L0025,Y,17
F06,,32014L0023,7,30
F06,,32014L0024,7,30
F06,,32014L0025,7,30
F07,,32014L0023,Q,15
F07,,32014L0024,Q,15
F07,,32014L0025,Q,15
F07,QSU_CALL_COMPETITION,32014L0023,O,15
F07,QSU_CALL_COMPETITION,32014L0024,O,15
F07,QSU_CALL_COMPETITION,32014L0025,O,15
F08,,32009L0081,B,3
F08,,32014L0024,B,1
F08,,32014L0025,B,2
F12,,32014L0024,D,23
F12,,32014L0025,D,24
F13,,32014L0024,R,36
F13,,32014L0025,R,37
F14,,32014L0023,2,41
F14,,32014L0024,2,41
F14,,32014L0025,2,41
F14,,32014L0023,1,41
F14,,32014L0024,1,41
F14,,32014L0025,1,41
F15,,32009L0081,V,27
F15,,32014L0023,V,28
F15,,32014L0024,V,25
F15,,32014L0025,V,26
F16,,32009L0081,0,6
F17,,32009L0081,3,18
F18,,32009L0081,7,31
F19,,32009L0081,F,22
F20,,32004L0017,K,39
F20,,32004L0018,K,38
F20,,32014L0023,K,40
F20,,32014L0024,K,38
F20,,32014L0025,K,39
F20,,32018R1046,K,38
F21,AWARD_CONTRACT,32014L0023,7,33
F21,AWARD_CONTRACT,32014L0024,7,33
F21,AWARD_CONTRACT,32014L0025,7,33
F21,CONTRACT,32014L0023,3,20
F21,CONTRACT,32014L0024,3,20
F21,CONTRACT,32014L0025,3,20
F21,PRI_CALL_COMPETITION,32014L0023,A,12
F21,PRI_CALL_COMPETITION,32014L0024,A,12
F21,PRI_CALL_COMPETITION,32014L0025,A,12
F21,PRI_ONLY,32014L0023,0,4
F21,PRI_ONLY,32014L0024,0,4
F21,PRI_ONLY,32014L0025,0,4
F22,AWARD_CONTRACT,32014L0023,7,34
F22,AWARD_CONTRACT,32014L0024,7,34
F22,AWARD_CONTRACT,32014L0025,7,34
F22,CONTRACT,32014L0023,3,21
F22,CONTRACT,32014L0024,3,21
F22,CONTRACT,32014L0025,3,21
F22,PER_CALL_COMPETITION,32014L0023,M,13
F22,PER_CALL_COMPETITION,32014L0024,M,13
F22,PER_CALL_COMPETITION,32014L0025,M,13
F22,PER_ONLY,32014L0023,P,5
F22,PER_ONLY,32014L0024,P,5
F22,PER_ONLY,32014L0025,P,5
F22,QSU_ONLY,32014L0023,Q,15
F22,QSU_ONLY,32014L0024,Q,15
F22,QSU_ONLY,32014L0025,Q,15
F23,CONCESSION_AWARD_CONTRACT,32014L0023,J,35
F23,PRI,32014L0023,H,35
F24,,32014L0022,C ,19
F24,,32014L0023,H,19
F25,,32014L0023,J,32
